Region 106 Avg IOU: 0.618101, Class: 0.795989, Obj: 0.087091, No Obj: 0.000029, .5R: 1.000000, .75R: 0.142857,  count: 7
Region 82 Avg IOU: 0.533406, Class: 0.710222, Obj: 0.038201, No Obj: 0.000198, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.667957, Class: 0.907002, Obj: 0.027019, No Obj: 0.000166, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.722182, Class: 0.936895, Obj: 0.098663, No Obj: 0.000034, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 82 Avg IOU: 0.631570, Class: 0.802285, Obj: 0.041355, No Obj: 0.000118, .5R: 0.666667, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.719480, Class: 0.854481, Obj: 0.119770, No Obj: 0.000149, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.789760, Class: 0.680018, Obj: 0.217451, No Obj: 0.000029, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: 0.832855, Class: 0.516258, Obj: 0.348424, No Obj: 0.000143, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.648838, Class: 0.577719, Obj: 0.156282, No Obj: 0.000209, .5R: 0.800000, .75R: 0.400000,  count: 5
Region 106 Avg IOU: 0.679734, Class: 0.953159, Obj: 0.183575, No Obj: 0.000042, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 82 Avg IOU: 0.603758, Class: 0.795602, Obj: 0.075082, No Obj: 0.000156, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.688178, Class: 0.967630, Obj: 0.523520, No Obj: 0.000230, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000029, .5R: -nan, .75R: -nan,  count: 0
3003: 0.793558, 0.728707 avg, 0.000010 rate, 9.741402 seconds, 192192 images
Loaded: 0.000050 seconds
Region 82 Avg IOU: 0.749227, Class: 0.921355, Obj: 0.000609, No Obj: 0.000109, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.730299, Class: 0.959616, Obj: 0.386456, No Obj: 0.000156, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.698872, Class: 0.865302, Obj: 0.154859, No Obj: 0.000051, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 82 Avg IOU: 0.622673, Class: 0.296349, Obj: 0.387586, No Obj: 0.000187, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.703499, Class: 0.967606, Obj: 0.338285, No Obj: 0.000201, .5R: 1.000000, .75R: 0.600000,  count: 5
Region 106 Avg IOU: 0.768256, Class: 0.951852, Obj: 0.127227, No Obj: 0.000041, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 82 Avg IOU: 0.777265, Class: 0.864337, Obj: 0.019509, No Obj: 0.000104, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.725859, Class: 0.760425, Obj: 0.292716, No Obj: 0.000175, .5R: 0.833333, .75R: 0.500000,  count: 6
Region 106 Avg IOU: 0.651783, Class: 0.979343, Obj: 0.036131, No Obj: 0.000031, .5R: 1.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.679234, Class: 0.888372, Obj: 0.252547, No Obj: 0.000329, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.672591, Class: 0.899284, Obj: 0.274832, No Obj: 0.000168, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 106 Avg IOU: 0.733479, Class: 0.831074, Obj: 0.000043, No Obj: 0.000026, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.566294, Class: 0.606360, Obj: 0.033076, No Obj: 0.000154, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.745223, Class: 0.886663, Obj: 0.187174, No Obj: 0.000161, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 106 Avg IOU: 0.705408, Class: 0.965624, Obj: 0.070460, No Obj: 0.000033, .5R: 1.000000, .75R: 0.428571,  count: 7
Region 82 Avg IOU: 0.634542, Class: 0.990600, Obj: 0.109286, No Obj: 0.000202, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.639765, Class: 0.772607, Obj: 0.360396, No Obj: 0.000193, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.649884, Class: 0.695226, Obj: 0.082013, No Obj: 0.000025, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 82 Avg IOU: 0.712946, Class: 0.848350, Obj: 0.070781, No Obj: 0.000299, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.688061, Class: 0.929972, Obj: 0.027165, No Obj: 0.000129, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.734224, Class: 0.789654, Obj: 0.083760, No Obj: 0.000042, .5R: 1.000000, .75R: 0.500000,  count: 6
Region 82 Avg IOU: 0.590450, Class: 0.740852, Obj: 0.046093, No Obj: 0.000288, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.752625, Class: 0.975751, Obj: 0.516965, No Obj: 0.000221, .5R: 1.000000, .75R: 0.600000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000020, .5R: -nan, .75R: -nan,  count: 0
3004: 0.636675, 0.719504 avg, 0.000010 rate, 9.896745 seconds, 192256 images
Loaded: 0.000063 seconds
Region 82 Avg IOU: 0.573033, Class: 0.958681, Obj: 0.068006, No Obj: 0.000515, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.725461, Class: 0.788433, Obj: 0.116540, No Obj: 0.000144, .5R: 1.000000, .75R: 0.600000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000035, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.624742, Class: 0.941975, Obj: 0.128858, No Obj: 0.000299, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.669664, Class: 0.741989, Obj: 0.091336, No Obj: 0.000195, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000031, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.706041, Class: 0.824464, Obj: 0.008551, No Obj: 0.000186, .5R: 0.750000, .75R: 0.750000,  count: 4
Region 94 Avg IOU: 0.673177, Class: 0.954616, Obj: 0.430099, No Obj: 0.000172, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.800314, Class: 0.811522, Obj: 0.026863, No Obj: 0.000034, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 82 Avg IOU: 0.609539, Class: 0.493167, Obj: 0.216978, No Obj: 0.000217, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.698247, Class: 0.783706, Obj: 0.156206, No Obj: 0.000199, .5R: 1.000000, .75R: 0.400000,  count: 5
Region 106 Avg IOU: 0.685298, Class: 0.906122, Obj: 0.053153, No Obj: 0.000033, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000122, .5R: -nan, .75R: -nan,  count: 0
